"name","thematic_area_id","thematic_area","interest_area_id","description","requirements","work_methods","optional_requirements"
"¿Cómo podríamos crear una estrategia para que el consumidor compre los productos complementarios al principal (venta cruzada)?",19,"sales",NULL,NULL,NULL,"[""to_be_agreed""]",NULL
"Analista marketplace",11,"market",NULL,"IMPORTANTE EMPRESA DEL SECTOR TEXTIL REQUIERE PARA SU EQUIPO DE TRABAJO ANALISTA MARKETPLACE, QUIEN DEBE CONTAR CON:FORMACION ACADEMICA: TECNOLOGO O PROFESIONAL EN MERCADEO AREAS COMERCIALES O A FINES.MISION: GESTIONAR A NIVEL OPERATIVO Y COMERCIAL LAS CUENTAS MARKETPLACE QUE SE PUEDAN VINCULAR AL PROCESO DE VENTAS.EXPERIENCIA: MINIMO DE 1 A 2 AÑOS DE EXPERIENCIA EN FUNCIONES RELACIONAS CON EL CARGO ANALISTA DE MARKETPLACE. MANEJO DE PLATAFORMAS DIGITALES Y VENTAS ONLINE. EXCEL INTERMEDIO.FuncionesGENERAR ESTRATEGIAS QUE MEJOREN RESULTADOS PARA LAS VENTASNEGOCIAR POSICIONAMIENTOS Y VENTAS A TRAVES DE LAS PLATAFORMAS MARKETPLACECARGAR INVENTARIOS EN LAS DIFERENTES PLATAFORMASCREACION DE NUEVOS PRODUCTOS EN LAS PLATAFORMASACTUALIZAR INVENTARIOS EN LA DIVERSAS PLATAFORMASABRIR NUEVOS MARKETPLACE Y REALIZAR NEGOCIACIONES CON LOS DIVERSOS MARKETPLACE (COMISIONES, ESPACIOS, ENTRE OTROS)HORARIO: LUNES – VIERNES 6 AM – 4PMMODALIDAD: PRESENCIAL.LUGAR DE TRABAJO: GUAYABAL PRINCIPAL.SALARIO IINICIAL: 1.900.000,         Mostrar más           Mostrar menos. Oferta publicada por Complementos Humanos en Medellín","[""recursos"", ""experiencia"", ""recursos humanos""]",NULL,NULL
"Asistente Administrativo y Marketing",17,"consumer",NULL,"ASISTENTE ADMINISTRATIVO Y DE MARKETINGDescripción y Responsabilidades Recibir, revisar, clasificar, radicar, distribuir y controlar documentos, datos, elementos y correspondencia, relacionados con los asuntos de competencia de la Dirección encargada. Consolidar una copia de seguridad de la información que reciba, elabore o envíe en razón a las actividades de su cargo. Llevar y mantener actualizados los registros de carácter técnico, administrativo, financiero y responder por la exactitud de los mismos. Orientar a los trabajadores y suministrar la información que les sea solicitada, de conformidad con los procedimientos establecidos. Desempeñar funciones administrativas encaminadas a facilitar el desarrollo y ejecución de las actividades de la Gerencia y Dirección del área encargada. Seguir procedimientos y acatar reglas definidas con precisión. Apoyar en la gestión y resultados del área en que se desempeñe de manera eficiente, oportuna y con calidad. Brindar la información de manera correcta, veraz y oportuna de los temas relacionados con el área en la que se desempeñe. Recibir la correspondencia relacionada con el área y apoyar en la respuesta cuando se requiera. Apoyar en la revisión y gestión documental de los documentos del área. Apoyar la elaboración de estudios de conveniencia y anexos técnicos. Ejecución de la estrategia social media y comunicación digital. Apoyar en la dinamización del contenido digital de acuerdo a la estrategia general de la empresa en las diferentes Redes Sociales. Apoyar en la creación de contenido gráfico y audiovisual de los planes de comunicación específicos para cada canal o red y proyecto.CUALIDADES PROFESIONALES Manejo de números Manejo de programas Word, Excel, otros Manejo de programas de edición de fotografía y video Manejo de herramientas de redes sociales Saber trabajar en equipo Contar con capacidad de síntesis y escritura para redactar informes y correos que estén hechos de manera precisa y clara.Habilidades Intelectuales Conocer tanto la misión como los objetivos de la empresa. Actualización profesional permanente. Contar con una amplia cultura general para lo cual se deberá leer constantemente artículos, también periódicos y otras publicaciones. Contar con capacidad de concentración en todas las actividades que se llevan a cabo. Saber manejar conflictos. Manejar adecuadamente el lenguaje. Contar con la habilidad para seguir instrucciones y también para transmitirlas.Formación AcadémicaRecién egresados de carreras técnicas, tecnológicas o universitarias en áreas administrativas, económicas, contables y de marketing.Certificaciones académicas y estudios de actualización recientes en temas relacionados con el cargo.ExperienciaUn (1) año de experiencia en cargos administrativos y de mercadeo.Condicones Económicas$1´500.000 + prestaciones de ley + auxilio de transporte.         Mostrar más           Mostrar menos. Oferta publicada por Fibra Andina  S.A.S en Cota","[""planes"", ""cultura"", ""digital"", ""redes sociales"", ""herramientas"", ""equipo"", ""social"", ""en equipo"", ""financiero"", ""leer""]",NULL,NULL
"atención al cliente - personas sin experiencia edad 22 años",17,"consumer",NULL,"Únete a nuestra campaña de atencion al cliente por teléfono y chatServicio de Atención al cliente por chat, se manejan todos los productos que el cliente recibe como persona natural, desbloqueos, cuentas, información de tarjetas y eso atiende el agente.No necesitas expericia minimo 22 años de edad Horas contrato: 48 horas semanales. Horario: lunes a Domingo Rotativos con un dia de descanso Lunes a Domingo 7:00 am a 10 pm Beca formativa : 290.000 Formación 30 dias + auxilio de transporte (pago semanal) +refrigerio diario.comisiones por cumplimiento de indicadores :200.000 Contrato: obra laborCiudad:manizales         Mostrar más           Mostrar menos. Oferta publicada por emergia - emotional experience company en Perímetro Urbano Manizales","[""experiencia"", ""atencion al cliente"", ""transporte"", ""indicadores"", ""persona"", ""atencion""]",NULL,NULL
"auxiliar administrativo/a / Contabilidad",16,"finance",NULL,"Empresa multinacional de alimentos está en la búsqueda de hombres o mujeres que quieran hacer parte de su equipo de trabajo para laborar en el área administrativa de la empresa, como Auxiliar de Impuestos o Auxiliar ContableRequisitos: Disponibilidad completa, tener experiencia en el manejo de impuestos, ser técnico o tecnólogo en contabilidad.Lugar de trabajo: BogotáHorario: administrativo lunes a viernes 8:00am - 6:00pmSalario: 1,160,000 + auxilio de movilización legal de 140,606 + prestaciones sociales, pensión, cesantías, salud, ARL, primas, vacacionesContrato obra labor por un año con posibilidad de vinculación.         Mostrar más           Mostrar menos. Oferta publicada por ABBATANGELO LIONEL en Bogotá","[""administrativo"", ""alimentos"", ""manejo"", ""experiencia"", ""auxiliar"", ""equipo"", ""trabajo""]",NULL,NULL
"Asesor de servicio al cliente (Aplica bachilleres) - Lunes a Sábado.",17,"consumer",NULL,"Importante entidad requiere para su equipo de trabajo asesor de servicio al cliente call center.Condiciones LaboralesSalario básico 1.000.000 + prestaciones de ley + variable de $120.000Horarios: lunes a viernes Franja horaria de 7:00 a.m. a 6:00 p.m. y sábados de 8:00 a.m. a 2:00 p.m. (No domingos, no festivos).Contrato: Obra o laborCapacitación: Remunerada a $15.000 el día.Se labora en la ciudad de Bogotá.Se ofrece oportunidad de crecimiento dentro de la compañía.RequisitosBachiller, técnico, tecnólogo, profesional o estudiante en cualquier área del conocimiento, con mínimo 6 meses de experiencia en call center certificable.Si estas interesado, postula tu hoja de vida.         Mostrar más           Mostrar menos. Oferta publicada por Millenium BPO en Bogotá","[""experiencia"", ""servicio"", ""servicio al cliente"", ""equipo"", ""no"", ""trabajo"", ""profesional""]",NULL,NULL
"Líder de bodega - Floridablanca",7,"communications",NULL,"Importante empresa del sector farmacéutico requiere para su equipo de trabajo líder de Bodega en Floridablanca con mínimo 1 año de experiencia en el cargo o relacionados en logística.Requisitos: Profesional en ingeniería industrial, administración de empresas o carreras afines, Manejo de herramientas informáticas (Windows, Word, Excel, Power Point), curso/Seminario en Manejo de Productos e Inventarios.Dentro de sus funciones será el encargado de la planeación, organización y supervisión de toda la cadena de despacho de mercancía desde su recepción hasta su salida al cliente. Indispensables habilidades de liderazgo, control, desarrollo de su equipo, iniciativa, comunicación, pensamiento analítico, orientación a resultados.Importante contar con disponibilidad horaria.         Mostrar más           Mostrar menos. Oferta publicada por Unidrogas S.A.S en Floridablanca","[""trabajo"", ""empresa"", ""habilidades"", ""desarrollo"", ""equipo"", ""experiencia"", ""cadena"", ""herramientas""]",NULL,NULL
"¿Cómo podríamos reinventar el proceso de embalaje desde la logística para hacerlo más eficiente?",18,"logistics",NULL,NULL,NULL,"[""to_be_agreed""]",NULL
"CEO",8,"design",NULL,"Experiencia en gestión administrativa Habilidades de liderazgo operacional efectivas para dirigir y motivar a los equipos.Experiencia financiera (conocimiento rentable, estados financieros).Experiencia y conocimiento en la gestión, diseño, desarrollo, implementación y mantenimiento de sistemas y tecnologías de información (programación, redes, bases de datos, seguridad, gestión de proyectos, entre otros).Capacidad de análisis y diagnóstico, visión estratégica, toma de decisiones y gestión del cambio, comunicación y negociación.      Mostrar más           Mostrar menos. Oferta publicada por Head Hunters International en Bogotá","[""conocimiento"", ""bases"", ""mantenimiento"", ""recursos"", ""financiera"", ""decisiones"", ""recursos humanos"", ""toma de decisiones"", ""liderazgo"", ""sistemas""]",NULL,NULL
"Pasante de desarrollo",6,"tech",NULL,"Apoyar a nuestra área de desarrollo para apoyar los procesos de desarrollo dentro de la organización para diversos proyectos.","[""C#"", ""Unity"", ""Seacher""]","[""mixed""]","[]"
