description,thematic_areas,features_culture_organization,digital_tools,work_methods,outstanding_knowledge_community,soft_skills,key
"Autodesk is a design, engineering, and construction software company. 
It is one of the largest software companies in the world, with more than 75,000 employees 
worldwide. Autodesk offers a wide range of software products, including AutoCAD, Revit, 
Inventor, and Maya. These products are used by a wide range of industries, including architecture, 
engineering, construction, manufacturing, entertainment, and design.",,,"[""AutoCAD"", ""Revit"", ""Inventor"", ""Maya"", ""Cloud computing"", ""Big data"", ""Inteligencia artificial""]","[""remote"", ""in_house"", ""mixed""]","[""technology"", ""accounting"", ""customer_service""]","[""problem_solving"", ""teamwork"", ""innovation"", ""assertive_comunication""]",technology
"Somos una compañía que agrupa soluciones en seguros y seguridad social. Nuestra  marca se presenta como  Seguros SURA-autos, salud, vida-, ARL SURA y EPS SURA. 

Contamos con el respaldo de GRUPO SURA como  compañía matriz y la reaseguradora internacional Munich Re. ",,,[],,,,services
"Every company has a mission. What's ours? To empower every person and every organization to achieve more. We believe technology can and should be a force for good and that meaningful innovation contributes to a brighter world in the future and today. Our culture doesn’t just encourage curiosity; it embraces it. Each day we make progress together by showing up as our authentic selves. We show up with a learn-it-all mentality. We show up cheering on others, knowing their success doesn't diminish our own. We show up every day open to learning our own biases, changing our behavior, and inviting in differences. When we show up, we achieve more together. Microsoft operates in 190 countries and is made up of more than 220,000 passionate employees worldwide.

Business Software, Developer Tools, Home & Educational Software, Tablets, Search, Advertising, Servers, Windows Operating System, Windows Applications & Platforms, Smartphones, Cloud Computing, Quantum Computing, Future of Work",,,"[""Microsoft Azure"", ""Microsoft 365"", ""Windows"", ""Visual Studio"", ""Visual Studio Code"", ""Azure DevOps"", ""Power BI"", ""SQL Server"", ""SharePoint"", ""Microsoft Teams"", ""OneDrive"", ""GitHub"", ""Dynamics 365"", ""Microsoft Edge"", ""Azure Machine Learning"", ""Azure Cognitive Services"", ""Azure Kubernetes Service"", ""Azure Functions"", ""Azure Logic Apps"", ""Azure Cosmos DB"", ""Azure SQL Database""]","[""remote"", ""in_house"", ""mixed""]","[""marketing_sales"", ""technology"", ""work_methods"", ""customer_services""]","[""assertive_communication"", ""teamwork"", ""problem_solving"", ""fast_learning"", ""critical_thinking"", ""time_management""]",technology
General Medica de Colombia SA,,,,,,,health
"McDonalds is an American fast food restaurant chain based in Chicago, Illinois. 
It is the world largest fast food restaurant chain by number of restaurants, 
with more than 38,000 restaurants in 100 countries.",,,"[""Webex"", ""SharePoint"", ""Microsoft Dynamics"", ""HubSpot"", ""Jira""]","[""remote"", ""in_house"", ""mixed""]","[""customer_service"", ""marketing_sales"", ""processes"", ""economy""]","[""assertive_communication"", ""teamwork"", ""problem_solving""]",food_and_beverages
ok,,,,,,,health
"Goldman Sachs is a global financial services company that offers a wide range of products and services 
to a wide range of clients, including corporations, governments, and financial institutions. 
The company was founded in 1869 and is headquartered in New York, NY.",,,"[""GSET"", ""Marquee"", ""Aladdin"", ""Research Platforms"", ""RegTech"", ""Blockchain""]","[""remote"", ""in_house"", ""mixed""]","[""finance"", ""management_leadership"", ""work_methods"", ""accounting""]","[""empathy"", ""problem_solving"", ""teamwork"", ""assertive_communication""]",financial
Usamos ideas brillantes para desarrollar proyectos innovadores que mejoren la vida de las personas.,,,,,,,health
"Porvenir es una administradora de fondos de pensiones y cesantías constituida en 1991, como fondo de cesantías únicamente. Sin embargo, en el año 1994, se estableció una alianza con la AFP Provida S.A. de Chile, en su momento la más grande administradora de pensiones en ese país, para entrar en operación con un fondo privado de pensiones obligatorias (solo hasta ese año se estableció este modelo en Colombia). Provida mantuvo su participación del 20% en Porvenir hasta septiembre de 2003. Actualmente, Porvenir administra un Fondo de Pensiones Voluntarias, Fondos de Pensiones Obligatorias y Fondos de Cesantías, así como Patrimonios Autónomos. Desde sus inicios Porvenir se ha consolidado como la sociedad administradora con lamayor cantidad de afiliados y de recursos administrados en los fondos de pensiones obligatorias y de cesantías. Porvenir hace parte del Grupo AVAL, uno de las multinacionales financieras más importantes del país. Para velar por los intereses de los afiliados y por disposición legal, Porvenir es vigilada por la Superintendencia Financiera y es auditada por una firma de Revisoría Fiscal de reconocida experiencia. Porvenir trabaja en la consolidación y administración del futuro pensional de los afiliados y administra su ahorro bajo criterios de rentabilidad, seguridad y transparencia; este compromiso se encuentra respaldado por un excelente equipo humano en continuo crecimiento y desarrollo, el cual vela por ofrecer un portafolio de productos dinámicos y un servicio ágil y oportuno, para garantizar la satisfacción de las necesidades de los clientes.",,,,,,,social_security
"ConocoPhillips is an international energy company that explores, produces, refines, 
transports and markets oil and natural gas. The company is headquartered in Houston, 
Texas, and operates in more than 30 countries.",,,"[""AutoCAD"", ""MATLAB"", ""Google Workspace"", ""Salesforce"", ""SAP"", ""Oracle""]","[""remote"", ""in_house"", ""mixed""]","[""finance"", ""technology"", ""accounting""]","[""empathy"", ""collaboration"", ""problem_solving"", ""critical_thinking"", ""responsability"", ""teamwork""]",electrical
"Su actividad consiste en la fabricación y comercialización de productos químicos intermedios

para los sectores agro, pinturas, adhesivos, textil, aseo, curtimbres, construcción y papel.",,,,,,,health
